home_team,away_team,home_goals,away_goals,result,season
Wigan Athletic,Fulham,1,1,D,2010-2011
West Ham United,Arsenal,0,3,A,2010-2011
Birmingham City,Aston Villa,1,1,D,2010-2011
Sunderland,Newcastle United,1,1,D,2010-2011
Liverpool,Everton,2,2,D,2010-2011
Tottenham Hotspur,Manchester United,0,0,D,2010-2011
Wolverhampton Wanderers,Liverpool,0,3,A,2010-2011
Arsenal,Wigan Athletic,3,0,H,2010-2011
Blackpool,Sunderland,1,2,A,2010-2011
Everton,West Ham United,2,2,D,2010-2011
Fulham,Stoke City,2,0,H,2010-2011
Manchester United,Birmingham City,5,0,H,2010-2011
Newcastle United,Tottenham Hotspur,1,1,D,2010-2011
Aston Villa,Manchester City,1,0,H,2010-2011
Blackburn Rovers,West Bromwich Albion,2,0,H,2010-2011
Bolton Wanderers,Chelsea,0,4,A,2010-2011
Blackpool,Manchester United,2,3,A,2010-2011
Wigan Athletic,Aston Villa,1,2,A,2010-2011
Liverpool,Fulham,1,0,H,2010-2011
Arsenal,Everton,2,1,H,2010-2011
Sunderland,Chelsea,2,4,A,2010-2011
Manchester United,Aston Villa,3,1,H,2010-2011
West Bromwich Albion,Wigan Athletic,2,2,D,2010-2011
Birmingham City,Manchester City,2,2,D,2010-2011
Blackburn Rovers,Tottenham Hotspur,0,1,A,2010-2011
Blackpool,West Ham United,1,3,A,2010-2011
Bolton Wanderers,Wolverhampton Wanderers,1,0,H,2010-2011
Fulham,Newcastle United,1,0,H,2010-2011
Liverpool,Stoke City,2,0,H,2010-2011
Stoke City,Sunderland,3,2,H,2010-2011
Aston Villa,Fulham,2,2,D,2010-2011
Everton,Blackpool,5,3,H,2010-2011
Manchester City,West Bromwich Albion,3,0,H,2010-2011
Newcastle United,Arsenal,4,4,D,2010-2011
Tottenham Hotspur,Bolton Wanderers,2,1,H,2010-2011
Wigan Athletic,Blackburn Rovers,4,3,H,2010-2011
Wolverhampton Wanderers,Manchester United,2,1,H,2010-2011
West Ham United,Birmingham City,0,1,A,2010-2011
Chelsea,Liverpool,0,1,A,2010-2011
Manchester United,Manchester City,2,1,H,2010-2011
Arsenal,Wolverhampton Wanderers,2,0,H,2010-2011
Birmingham City,Stoke City,1,0,H,2010-2011
Blackburn Rovers,Newcastle United,0,0,D,2010-2011
Blackpool,Aston Villa,1,1,D,2010-2011
Liverpool,Wigan Athletic,1,1,D,2010-2011
West Bromwich Albion,West Ham United,3,3,D,2010-2011
Sunderland,Tottenham Hotspur,1,2,A,2010-2011
Bolton Wanderers,Everton,2,0,H,2010-2011
Fulham,Chelsea,0,0,D,2010-2011
Birmingham City,Newcastle United,0,2,A,2010-2011
West Bromwich Albion,Wolverhampton Wanderers,1,1,D,2010-2011
Blackpool,Tottenham Hotspur,3,1,H,2010-2011
Arsenal,Stoke City,1,0,H,2010-2011
Aston Villa,Blackburn Rovers,4,1,H,2010-2011
Everton,Sunderland,2,0,H,2010-2011
Newcastle United,Bolton Wanderers,1,1,D,2010-2011
Wigan Athletic,Manchester United,0,4,A,2010-2011
Wolverhampton Wanderers,Blackpool,4,0,H,2010-2011
West Ham United,Liverpool,3,1,H,2010-2011
Manchester City,Fulham,1,1,D,2010-2011
Stoke City,West Bromwich Albion,1,1,D,2010-2011
Chelsea,Manchester United,2,1,H,2010-2011
Birmingham City,West Bromwich Albion,1,3,A,2010-2011
Arsenal,Sunderland,0,0,D,2010-2011
Bolton Wanderers,Aston Villa,3,2,H,2010-2011
Fulham,Blackburn Rovers,3,2,H,2010-2011
Newcastle United,Everton,1,2,A,2010-2011
West Ham United,Stoke City,3,0,H,2010-2011
Manchester City,Wigan Athletic,1,0,H,2010-2011
Liverpool,Manchester United,3,1,H,2010-2011
Wolverhampton Wanderers,Tottenham Hotspur,3,3,D,2010-2011
Blackpool,Chelsea,1,3,A,2010-2011
Everton,Birmingham City,1,1,D,2010-2011
Tottenham Hotspur,West Ham United,0,0,D,2010-2011
Aston Villa,Wolverhampton Wanderers,0,1,A,2010-2011
Blackburn Rovers,Blackpool,2,2,D,2010-2011
Manchester United,Bolton Wanderers,1,0,H,2010-2011
Stoke City,Newcastle United,4,0,H,2010-2011
West Bromwich Albion,Arsenal,2,2,D,2010-2011
Wigan Athletic,Birmingham City,2,1,H,2010-2011
Everton,Fulham,2,1,H,2010-2011
Sunderland,Liverpool,0,2,A,2010-2011
Chelsea,Manchester City,2,0,H,2010-2011
West Ham United,Manchester United,2,4,A,2010-2011
Birmingham City,Bolton Wanderers,2,1,H,2010-2011
Everton,Aston Villa,2,2,D,2010-2011
Newcastle United,Wolverhampton Wanderers,4,1,H,2010-2011
Stoke City,Chelsea,1,1,D,2010-2011
West Bromwich Albion,Liverpool,2,1,H,2010-2011
Wigan Athletic,Tottenham Hotspur,0,0,D,2010-2011
Arsenal,Blackburn Rovers,0,0,D,2010-2011
Fulham,Blackpool,3,0,H,2010-2011
Manchester City,Sunderland,5,0,H,2010-2011
Wolverhampton Wanderers,Everton,0,3,A,2010-2011
Blackburn Rovers,Birmingham City,1,1,D,2010-2011
Bolton Wanderers,West Ham United,3,0,H,2010-2011
Chelsea,Wigan Athletic,1,0,H,2010-2011
Manchester United,Fulham,2,0,H,2010-2011
Sunderland,West Bromwich Albion,2,3,A,2010-2011
Tottenham Hotspur,Stoke City,3,2,H,2010-2011
Blackpool,Arsenal,1,3,A,2010-2011
Aston Villa,Newcastle United,1,0,H,2010-2011
Liverpool,Manchester City,3,0,H,2010-2011
Birmingham City,Sunderland,2,0,H,2010-2011
Blackpool,Wigan Athletic,1,3,A,2010-2011
Everton,Blackburn Rovers,2,0,H,2010-2011
West Bromwich Albion,Chelsea,1,3,A,2010-2011
West Ham United,Aston Villa,1,2,A,2010-2011
Arsenal,Liverpool,1,1,D,2010-2011
Newcastle United,Manchester United,0,0,D,2010-2011
Chelsea,Birmingham City,3,1,H,2010-2011
Tottenham Hotspur,Arsenal,3,3,D,2010-2011
Manchester United,Everton,1,0,H,2010-2011
Aston Villa,Stoke City,1,1,D,2010-2011
Blackpool,Newcastle United,1,1,D,2010-2011
Liverpool,Birmingham City,5,0,H,2010-2011
Sunderland,Wigan Athletic,4,2,H,2010-2011
Tottenham Hotspur,West Bromwich Albion,2,2,D,2010-2011
Wolverhampton Wanderers,Fulham,1,1,D,2010-2011
Chelsea,West Ham United,3,0,H,2010-2011
Bolton Wanderers,Arsenal,2,1,H,2010-2011
Blackburn Rovers,Manchester City,0,1,A,2010-2011
Stoke City,Wolverhampton Wanderers,3,0,H,2010-2011
Fulham,Bolton Wanderers,3,0,H,2010-2011
Blackburn Rovers,Bolton Wanderers,1,0,H,2010-2011
Blackpool,Stoke City,0,0,D,2010-2011
Sunderland,Fulham,0,3,A,2010-2011
West Bromwich Albion,Aston Villa,2,1,H,2010-2011
Wigan Athletic,Everton,1,1,D,2010-2011
Chelsea,Tottenham Hotspur,2,1,H,2010-2011
Birmingham City,Wolverhampton Wanderers,1,1,D,2010-2011
Liverpool,Newcastle United,3,0,H,2010-2011
Arsenal,Manchester United,1,0,H,2010-2011
Manchester City,West Ham United,2,1,H,2010-2011
Aston Villa,Wigan Athletic,1,1,D,2010-2011
Bolton Wanderers,Sunderland,1,2,A,2010-2011
Everton,Manchester City,2,1,H,2010-2011
Newcastle United,Birmingham City,2,1,H,2010-2011
West Ham United,Blackburn Rovers,1,1,D,2010-2011
Tottenham Hotspur,Blackpool,1,1,D,2010-2011
Wolverhampton Wanderers,West Bromwich Albion,3,1,H,2010-2011
Stoke City,Arsenal,3,1,H,2010-2011
Manchester United,Chelsea,2,1,H,2010-2011
Fulham,Liverpool,2,5,A,2010-2011
Manchester City,Tottenham Hotspur,1,0,H,2010-2011
Blackburn Rovers,Manchester United,1,1,D,2010-2011
Blackpool,Bolton Wanderers,4,3,H,2010-2011
Sunderland,Wolverhampton Wanderers,1,3,A,2010-2011
West Bromwich Albion,Everton,1,0,H,2010-2011
Chelsea,Newcastle United,2,2,D,2010-2011
Arsenal,Aston Villa,1,2,A,2010-2011
Birmingham City,Fulham,0,2,A,2010-2011
Liverpool,Tottenham Hotspur,0,2,A,2010-2011
Wigan Athletic,West Ham United,3,2,H,2010-2011
Manchester City,Stoke City,3,0,H,2010-2011
Aston Villa,Liverpool,1,0,H,2010-2011
Bolton Wanderers,Manchester City,0,2,A,2010-2011
Everton,Chelsea,1,0,H,2010-2011
Fulham,Arsenal,2,2,D,2010-2011
Manchester United,Blackpool,4,2,H,2010-2011
Newcastle United,West Bromwich Albion,3,3,D,2010-2011
Stoke City,Wigan Athletic,0,1,A,2010-2011
Tottenham Hotspur,Birmingham City,2,1,H,2010-2011
West Ham United,Sunderland,0,3,A,2010-2011
Wolverhampton Wanderers,Blackburn Rovers,2,3,A,2010-2011
Blackburn Rovers,Wolverhampton Wanderers,1,2,A,2011-2012
Fulham,Aston Villa,0,0,D,2011-2012
Liverpool,Sunderland,1,1,D,2011-2012
Queens Park Rangers,Bolton Wanderers,0,4,A,2011-2012
Wigan Athletic,Norwich City,1,1,D,2011-2012
Newcastle United,Arsenal,0,0,D,2011-2012
Stoke City,Chelsea,0,0,D,2011-2012
West Bromwich Albion,Manchester United,1,2,A,2011-2012
Manchester City,Swansea City,4,0,H,2011-2012
Sunderland,Newcastle United,0,1,A,2011-2012
Arsenal,Liverpool,0,2,A,2011-2012
Aston Villa,Blackburn Rovers,3,1,H,2011-2012
Everton,Queens Park Rangers,0,1,A,2011-2012
Swansea City,Wigan Athletic,0,0,D,2011-2012
Chelsea,West Bromwich Albion,2,1,H,2011-2012
Norwich City,Stoke City,1,1,D,2011-2012
Wolverhampton Wanderers,Fulham,2,0,H,2011-2012
Bolton Wanderers,Manchester City,2,3,A,2011-2012
Manchester United,Tottenham Hotspur,3,0,H,2011-2012
Aston Villa,Wolverhampton Wanderers,0,0,D,2011-2012
Wigan Athletic,Queens Park Rangers,2,0,H,2011-2012
Blackburn Rovers,Everton,0,1,A,2011-2012
Chelsea,Norwich City,3,1,H,2011-2012
Swansea City,Sunderland,0,0,D,2011-2012
Liverpool,Bolton Wanderers,3,1,H,2011-2012
Newcastle United,Fulham,2,1,H,2011-2012
Tottenham Hotspur,Manchester City,1,5,A,2011-2012
West Bromwich Albion,Stoke City,0,1,A,2011-2012
Manchester United,Arsenal,8,2,H,2011-2012
Arsenal,Swansea City,1,0,H,2011-2012
Everton,Aston Villa,2,2,D,2011-2012
Manchester City,Wigan Athletic,3,0,H,2011-2012
Stoke City,Liverpool,1,0,H,2011-2012
Sunderland,Chelsea,1,2,A,2011-2012
Wolverhampton Wanderers,Tottenham Hotspur,0,2,A,2011-2012
Bolton Wanderers,Manchester United,0,5,A,2011-2012
Norwich City,West Bromwich Albion,0,1,A,2011-2012
Fulham,Blackburn Rovers,1,1,D,2011-2012
Queens Park Rangers,Newcastle United,0,0,D,2011-2012
Blackburn Rovers,Arsenal,4,3,H,2011-2012
Aston Villa,Newcastle United,1,1,D,2011-2012
Bolton Wanderers,Norwich City,1,2,A,2011-2012
Everton,Wigan Athletic,3,1,H,2011-2012
Swansea City,West Bromwich Albion,3,0,H,2011-2012
Wolverhampton Wanderers,Queens Park Rangers,0,3,A,2011-2012
Tottenham Hotspur,Liverpool,4,0,H,2011-2012
Fulham,Manchester City,2,2,D,2011-2012
Sunderland,Stoke City,4,0,H,2011-2012
Manchester United,Chelsea,3,1,H,2011-2012
Manchester City,Everton,2,0,H,2011-2012
Arsenal,Bolton Wanderers,3,0,H,2011-2012
Chelsea,Swansea City,4,1,H,2011-2012
Liverpool,Wolverhampton Wanderers,2,1,H,2011-2012
Newcastle United,Blackburn Rovers,3,1,H,2011-2012
West Bromwich Albion,Fulham,0,0,D,2011-2012
Wigan Athletic,Tottenham Hotspur,1,2,A,2011-2012
Stoke City,Manchester United,1,1,D,2011-2012
Queens Park Rangers,Aston Villa,1,1,D,2011-2012
Norwich City,Sunderland,2,1,H,2011-2012
Everton,Liverpool,0,2,A,2011-2012
Aston Villa,Wigan Athletic,2,0,H,2011-2012
Blackburn Rovers,Manchester City,0,4,A,2011-2012
Manchester United,Norwich City,2,0,H,2011-2012
Sunderland,West Bromwich Albion,2,2,D,2011-2012
Wolverhampton Wanderers,Newcastle United,1,2,A,2011-2012
Bolton Wanderers,Chelsea,1,5,A,2011-2012
Fulham,Queens Park Rangers,6,0,H,2011-2012
Swansea City,Stoke City,2,0,H,2011-2012
Tottenham Hotspur,Arsenal,2,1,H,2011-2012
Liverpool,Manchester United,1,1,D,2011-2012
Manchester City,Aston Villa,4,1,H,2011-2012
Norwich City,Swansea City,3,1,H,2011-2012
Queens Park Rangers,Blackburn Rovers,1,1,D,2011-2012
Stoke City,Fulham,2,0,H,2011-2012
Wigan Athletic,Bolton Wanderers,1,3,A,2011-2012
Chelsea,Everton,3,1,H,2011-2012
West Bromwich Albion,Wolverhampton Wanderers,2,0,H,2011-2012
Arsenal,Sunderland,2,1,H,2011-2012
Newcastle United,Tottenham Hotspur,2,2,D,2011-2012
Wolverhampton Wanderers,Swansea City,2,2,D,2011-2012
Aston Villa,West Bromwich Albion,1,2,A,2011-2012
Bolton Wanderers,Sunderland,0,2,A,2011-2012
Newcastle United,Wigan Athletic,1,0,H,2011-2012
Liverpool,Norwich City,1,1,D,2011-2012
Arsenal,Stoke City,3,1,H,2011-2012
Fulham,Everton,1,3,A,2011-2012
Manchester United,Manchester City,1,6,A,2011-2012
Blackburn Rovers,Tottenham Hotspur,1,2,A,2011-2012
Queens Park Rangers,Chelsea,1,0,H,2011-2012
Everton,Manchester United,0,1,A,2011-2012
Chelsea,Arsenal,3,5,A,2011-2012
Manchester City,Wolverhampton Wanderers,3,1,H,2011-2012
Norwich City,Blackburn Rovers,3,3,D,2011-2012
Sunderland,Aston Villa,2,2,D,2011-2012
Swansea City,Bolton Wanderers,3,1,H,2011-2012
Wigan Athletic,Fulham,0,2,A,2011-2012
West Bromwich Albion,Liverpool,0,2,A,2011-2012
Tottenham Hotspur,Queens Park Rangers,3,1,H,2011-2012
Stoke City,Newcastle United,1,3,A,2011-2012
Newcastle United,Everton,2,1,H,2011-2012
Arsenal,West Bromwich Albion,3,0,H,2011-2012
Aston Villa,Norwich City,3,2,H,2011-2012
Blackburn Rovers,Chelsea,0,1,A,2011-2012
Liverpool,Swansea City,0,0,D,2011-2012
Manchester United,Sunderland,1,0,H,2011-2012
Queens Park Rangers,Manchester City,2,3,A,2011-2012
Wolverhampton Wanderers,Wigan Athletic,3,1,H,2011-2012
Bolton Wanderers,Stoke City,5,0,H,2011-2012
Fulham,Tottenham Hotspur,1,3,A,2011-2012
Norwich City,Arsenal,1,2,A,2011-2012
Everton,Wolverhampton Wanderers,2,1,H,2011-2012
Manchester City,Newcastle United,3,1,H,2011-2012
Stoke City,Queens Park Rangers,2,3,A,2011-2012
Sunderland,Fulham,0,0,D,2011-2012
West Bromwich Albion,Bolton Wanderers,2,1,H,2011-2012
Wigan Athletic,Blackburn Rovers,3,3,D,2011-2012
Swansea City,Manchester United,0,1,A,2011-2012
Chelsea,Liverpool,1,2,A,2011-2012
Tottenham Hotspur,Aston Villa,2,0,H,2011-2012
Stoke City,Blackburn Rovers,3,1,H,2011-2012
Bolton Wanderers,Everton,0,2,A,2011-2012
Chelsea,Wolverhampton Wanderers,3,0,H,2011-2012
Manchester United,Newcastle United,1,1,D,2011-2012
Norwich City,Queens Park Rangers,2,1,H,2011-2012
Sunderland,Wigan Athletic,1,2,A,2011-2012
West Bromwich Albion,Tottenham Hotspur,1,3,A,2011-2012
Arsenal,Fulham,1,1,D,2011-2012
Swansea City,Aston Villa,0,0,D,2011-2012
Liverpool,Manchester City,1,1,D,2011-2012
Newcastle United,Chelsea,0,3,A,2011-2012
Blackburn Rovers,Swansea City,4,2,H,2011-2012
Manchester City,Norwich City,5,1,H,2011-2012
Queens Park Rangers,West Bromwich Albion,1,1,D,2011-2012
Tottenham Hotspur,Bolton Wanderers,3,0,H,2011-2012
Wigan Athletic,Arsenal,0,4,A,2011-2012
Aston Villa,Manchester United,0,1,A,2011-2012
Everton,Stoke City,0,1,A,2011-2012
Wolverhampton Wanderers,Sunderland,2,1,H,2011-2012
Fulham,Liverpool,1,0,H,2011-2012
Arsenal,Everton,1,0,H,2011-2012
Bolton Wanderers,Aston Villa,1,2,A,2011-2012
